J0005-28        ESO409-IG015       1.38367  -28.09988     7.0   737.3   52   8.27  10.7   61.5  1.331  135.2   31.7  14.78  -15.47   90.0   27.9  -14.36
J0008-34        ESO349-G031        2.05884  -34.57837     5.8   221.0   30   7.17   3.3   96.8  1.151   55.4   57.6  14.85  -12.79  384.1  135.6  -10.89
J0008-59        ESO111-G014        2.07820  -59.51498    16.0  7786.4  353  10.68 112.1  120.3  1.652  159.7   51.1  13.45  -22.49  591.0  349.4  -19.26
J0019-22        MCG-04-02-003      4.79768  -22.66776    15.8   669.6  121   8.55   9.8   59.8  1.155  117.1   46.2  14.60  -15.46  109.8   73.4  -13.39
J0031-22        ESO473-G024        7.84248  -22.77069     7.0   539.2   47   8.01   7.9   75.2  1.336   31.0   41.9  15.65  -13.92  354.6  115.1  -12.66


# HIPASS+       OPTID               RA        Dec       m_R    Rap_o Rap_uv  UVdb
J0005-28        ESO409-IG015       1.38367  -28.09988  14.779   61.5   90.0  OIW
J0008-34        ESO349-G031        2.05884  -34.57837  14.855   96.8  384.1  OIW
J0008-59        ESO111-G014        2.07820  -59.51498  13.448  120.3  591.0  OIW
J0019-22        MCG-04-02-003      4.79768  -22.66776  14.605   59.8  109.8  ZJZ
J0031-22        ESO473-G024        7.84248  -22.77069  15.651   75.2  354.6  OIW
J0039-14a       NGC0178            9.78480  -14.17292  12.607  139.0  738.8  OIW
J0047-25        NGC0253           11.89276  -25.28856   6.779 1045.7  754.5  ZJZ
J0049-20        UGCA015           12.45307  -21.01766  14.903   78.7  325.0  OIW
J0052-31        NGC0289           13.17589  -31.20598  10.454  421.1  272.3  ZJZ
J0101-07        NGC0337A          15.39112   -7.58787  11.657  257.1  171.7  ZJZ
J
