# normal detections 
# name lsehaf2 lserf lewf 
           J0005-28              33.393    7.584    1.455    0.021    0.009    0.019
           J0008-59              31.730    7.965    1.377    0.096    0.008    0.096
           J0039-14a             32.396    8.198    1.090    0.032    0.002    0.032
           NGC625                32.822    7.749    1.186    0.053    0.001    0.053
           J0140-05:S2           31.311    7.003    0.873    0.086    0.023    0.082
           XMMLSS_03             31.939    8.023    1.219    0.094    0.001    0.094
           J0224-24:S1           32.780    8.205    1.343    0.027    0.001    0.027
           J0224-24:S2           32.853    8.373    1.037    0.062    0.011    0.060
           NGC0958               32.433    8.362    1.418    0.111    0.001    0.111
           J0240-08              31.892    7.888    1.066    0.062    0.001    0.062
           UGCA044               30.823    6.875    0.682    0.079    0.010    0.078
           J0258-74:S1           32.091    8.243    1.007    0.089    0.002    0.089
           J0258-74:S3           31.968    7.754    1.249    0.124    0.035    0.119
           J0309-41              30.814    7.137    0.657    0.128    0.002    0.128
           J0310-39              32.137    6.827    0.512    0.129    0.017    0.128
           J0317-37              31.846    7.524    0.830    0.050    0.018    0.046
           MIS2DFR_38665_0859    32.261    8.017    0.880    0.029    0.001    0.029
           IC1954                32.452    8.153    1.049    0.059    0.001    0.059
           NGC1437a              31.490    7.359    0.864    0.074    0.004    0.074
           J0351-38              31.020    6.762    0.861    0.051    0.007    0.050
           J0354-43              31.175    7.130    0.447    0.107    0.008    0.106
           NGC1487               32.724    8.027    0.982    0.052    0.001    0.052
           J0359-45:S1           30.877    6.820    0.929    0.063    0.009    0.062
           J0359-45:S2           31.126    7.111    0.561    0.108    0.015    0.107
           J0403-43:S2           33.843    8.602    1.017    0.046    0.002    0.046
           NGC1522               33.333    8.246    1.343    0.021    0.004    0.020
           J0411-35              31.740    7.381    0.881    0.088    0.013    0.087
           NGA_NGC1566           32.893    8.700    1.359    0.046    0.000    0.046
           UGCA090               31.089    7.309    0.511    0.126    0.001    0.126
           J0429-27              31.949    7.472    0.632    0.027    0.003    0.027
           NGA_NGC1672           32.854    8.581    1.431    0.037    0.000    0.037
           NGC1744               31.522    7.587    0.649    0.097    0.001    0.097
           NGC1792               32.814    8.483    1.094    0.066    0.000    0.066
           NGA_NGC1800           32.345    8.216    1.110    0.057    0.002    0.057
           J0508-38              30.797    7.003    0.565    0.096    0.002    0.096
           UGCA106               31.164    7.215    0.670    0.088    0.002    0.088
           J0515-41              31.581    7.318    1.029    0.042    0.004    0.042
           J0516-37              31.782    7.617    0.959    0.050    0.001    0.050
           NGC2101               32.150    7.715    0.896    0.022    0.002    0.021
           J0547-51:S1           31.990    7.892    0.576    0.051    0.001    0.051
           J0547-51:S2           31.286    7.414    0.551    0.155    0.026    0.152
           J1001-06              32.387    7.073    0.972    0.095    0.019    0.093
           J1026-19:S2           33.644    8.203    0.864    0.146    0.008    0.145
           NGC3355               31.298    7.369    0.740    0.073    0.003    0.073
           J1042-23              31.865    7.706    0.575    0.037    0.001    0.037
           J1051-17:S3           31.535    7.462    0.864    0.137    0.033    0.133
           J1103-23:S1           32.104    7.988    0.848    0.048    0.000    0.048
           J1103-23:S2           32.180    8.265    0.769    0.050    0.001    0.050
           J1107-17              32.236    7.652    0.774    0.033    0.005    0.032
           J1127-04              31.248    7.114    0.675    0.073    0.006    0.073
           MISDR1_12924_0282     33.213    7.923    1.215    0.018    0.006    0.017
           J1145+02              30.556    6.358    0.654    0.097    0.041    0.087
           NGC3887               32.350    8.359    0.973    0.060    0.000    0.060
           MISDR1_13262_0285     32.859    8.816    0.838    0.073    0.000    0.073
           UGCA270               31.575    7.508   -0.214    0.047    0.000    0.047
           J1220+00              31.147    7.119    0.629    0.070    0.011    0.070
           NGC4487               31.939    7.843    1.059    0.081    0.001    0.081
           NGC4504               31.573    7.802    0.856    0.057    0.001    0.057
           NGC4691               33.864    8.570    1.051    0.042    0.000    0.042
           J1254-10a_NGC4781     32.553    8.283    1.156    0.036    0.001    0.036
           UGC8041               31.822    7.589    0.988    0.060    0.002    0.060
           J1300-13:S1           31.920    8.365    1.130    0.059    0.002    0.059
           J1300-13:S2           31.295    7.260    0.795    0.083    0.024    0.080
           NGC4939               32.126    8.209    1.565    0.073    0.002    0.073
           J1338-09              32.096    7.979    0.707    0.049    0.001    0.049
