# normal detections 
# name lsehafr2 lserfr lewfr elsehaf elserf elewf 
           J0005-28              33.300    7.537    1.382    0.017    0.012    0.021
           J0008-59              31.177    7.688    1.130    0.112    0.012    0.096
           J0039-14a             32.144    8.072    0.970    0.036    0.008    0.032
           NGC625                32.660    7.668    1.567    0.040    0.011    0.053
           J0140-05:S2           31.224    6.960    0.786    0.038    0.008    0.086
           XMMLSS_03             31.496    7.801    1.060    0.123    0.008    0.094
           J0224-24:S1           32.310    7.970    1.240    0.032    0.009    0.027
           J0224-24:S2           32.656    8.274    1.049    0.041    0.011    0.062
           NGC0958               31.709    8.000    1.671    0.130    0.008    0.111
           J0240-08              31.497    7.691    1.005    0.061    0.008    0.062
           UGCA044               30.712    6.819    0.647    0.067    0.010    0.079
           J0258-74:S1           31.582    7.989    1.368    0.099    0.010    0.089
           J0258-74:S3           31.760    7.650    1.794    0.100    0.036    0.124
           J0309-41              30.610    7.035    0.924    0.166    0.008    0.128
           J0310-39              32.067    6.792    0.644    0.249    0.008    0.129
           J0317-37              31.770    7.486    0.882    0.032    0.013    0.050
           MIS2DFR_38665_0859    32.038    7.906    1.132    0.042    0.013    0.029
           IC1954                32.146    8.000    1.289    0.041    0.008    0.059
           NGC1437a              31.353    7.290    1.042    0.068    0.008    0.074
           J0351-38              30.923    6.713    0.909    0.052    0.008    0.051
           J0354-43              31.089    7.087    0.598    0.083    0.011    0.107
           NGC1487               32.488    7.908    1.092    0.024    0.009    0.052
           J0359-45:S1           30.776    6.770    1.013    0.062    0.009    0.063
           J0359-45:S2           31.050    7.073    0.801    0.068    0.009    0.108
           J0403-43:S2           33.671    8.516    1.184    0.021    0.013    0.046
           NGC1522               33.186    8.172    1.362    0.011    0.009    0.021
           J0411-35              31.643    7.333    0.876    0.035    0.012    0.088
           NGA_NGC1566           32.255    8.382    1.231    0.049    0.012    0.046
           UGCA090               30.865    7.197    0.740    0.122    0.008    0.126
           J0429-27              31.815    7.405    0.546    0.021    0.011    0.027
           NGA_NGC1672           32.281    8.295    1.337    0.035    0.010    0.037
           NGC1744               31.275    7.464    0.825    0.100    0.008    0.097
           NGC1792               32.319    8.236    1.757    0.058    0.008    0.066
           NGA_NGC1800           32.155    8.121    1.176    0.057    0.010    0.057
           J0508-38              30.611    6.910    0.682    0.115    0.008    0.096
           UGCA106               30.965    7.116    0.722    0.086    0.008    0.088
           J0515-41              31.430    7.243    1.179    0.035    0.010    0.042
           J0516-37              31.496    7.474    1.468    0.036    0.011    0.050
           NGC2101               31.964    7.623    1.073    0.016    0.008    0.022
           J0547-51:S1           31.775    7.785    1.002    0.045    0.008    0.051
           J0547-51:S2           31.205    7.374    0.923    0.075    0.013    0.155
           J1001-06              32.315    7.037    1.053    0.188    0.010    0.095
           J1026-19:S2           33.292    8.027    1.212    0.124    0.021    0.146
           NGC3355               31.119    7.280    1.018    0.069    0.014    0.073
           J1042-23              31.690    7.618    1.161    0.036    0.009    0.037
           J1051-17:S3           31.346    7.368    0.963    0.128    0.008    0.137
           J1103-23:S1           31.738    7.805    1.254    0.039    0.008    0.048
           J1103-23:S2           31.879    8.114    0.975    0.055    0.008    0.050
           J1107-17              32.137    7.603    1.121    0.015    0.009    0.033
           J1127-04              31.163    7.071    0.979    0.070    0.009    0.073
           MISDR1_12924_0282     33.111    7.872    1.238    0.011    0.012    0.018
           J1145+02              30.506    6.333    0.664    0.044    0.015    0.097
           NGC3887               31.969    8.169    1.344    0.066    0.008    0.060
           MISDR1_13262_0285     32.319    8.546    1.466    0.084    0.009    0.073
           UGCA270               31.263    7.352    1.087    0.045    0.020    0.047
           J1220+00              31.077    7.084    0.915    0.060    0.009    0.070
           NGC4487               31.677    7.712    1.261    0.076    0.008    0.081
           NGC4504               31.322    7.677    1.199    0.066    0.009    0.057
           NGC4691               33.543    8.410    1.412    0.030    0.009    0.042
           J1254-10a_NGC4781     32.205    8.109    1.346    0.038    0.008    0.036
           UGC8041               31.581    7.469    1.014    0.038    0.009    0.060
           J1300-13:S1           31.462    8.136    0.938    0.086    0.011    0.059
           J1300-13:S2           31.156    7.191    0.941    0.041    0.011    0.083
           NGC4939               31.446    7.869    1.065    0.092    0.009    0.073
           J1338-09              31.820    7.840    1.219    0.044    0.008    0.049
           NGA_NGC5253           34.397    8.566    1.728    0.022    0.012    0.020
           J1403-06:S1           31.829    7.972    1.456    0.040    0.010    0.029
           J1403-06:S2           32.047    8.121    1.330    0.041    0.008    0.040
           J1403-27              33.111    7.913    1.247    0.010    0.012    0.016
           J1419-26:S1           32.064    8.076    0.805    0.127    0.019    0.055
           J1419-26:S2           32.568    8.456    1.290    0.030    0.009    0.046
           NGC6902               30.972    8.240    0.955    0.154    0.019    0.098
           NGC6907               32.202    8.183    1.328    0.028    0.013    0.033
           J2030-33:S1           31.633    8.248    1.160    0.098    0.010    0.072
           J2030-33:S2           31.118    7.273    0.986    0.044    0.008    0.040
           J2030-33:S3           30.759    6.906    0.900    0.056    0.009    0.107
           NGC6925               31.609    8.138    1.246    0.054    0.008    0.043
           NGC6943               31.412    7.981    1.174    0.088    0.008    0.070
           NGC7059               31.582    7.690    1.259    0.042    0.010    0.044
           NGC7083               31.868    8.154    1.321    0.053    0.008    0.039
           J2149-60:S2           31.584    7.482    1.244    0.025    0.008    0.019
           J2149-60:S1           32.223    8.224    1.504    0.033    0.009    0.038
           J2149-60:S3           31.872    7.076    1.045    0.194    0.015    0.126
           J2222-48              30.771    6.850    0.982    0.063    0.008    0.064
           UGCA433               30.555    6.864    0.980    0.079    0.013    0.070
           J2254-26              33.296    7.821    1.560    0.012    0.012    0.026
           NGC7424               31.343    7.500    0.918    0.103    0.010    0.085
           J2318-42a:S2          32.493    8.372    1.508    0.033    0.008    0.032
           J2318-42a:S1          32.859    8.155    1.857    0.433    0.008    0.071
