# non detections 
# name lsehau2 lseru lewu 
                     J0008-34    30.625    6.862    0.676
                  J0140-05:S2    30.871    7.297    1.108
                     J0317-41    32.550    8.862    1.069
                     J0335-24    31.974    8.429    0.825
                  J0403-43:S1    31.887    8.242    0.821
                  J1026-19:S1    32.420    8.385    0.826
                  J1026-19:S6    31.709    7.733    0.542
                  J1051-17:S1    31.477    7.583    0.859
                  J1051-17:S4    31.142    7.298    0.879
                  J1118-17:S2    31.305    7.384    0.209
                     J1321-31    30.314    6.488   -0.006
                  J1339-31:S1    32.469    8.684    1.551
                  J1339-31:S2    32.126    8.294    0.480
                     J2357-32    32.710    8.045    1.477
