# HIPASS ID   filename                       ra1          ra2          dec1         dec2
J1026-19      backgrounds/J1026-19.jpg       10:27:15     10:26:00     -19:12:00    -18:54:00
J2239-04      backgrounds/J2239-04.jpg	     22:39:30	  22:38:30     -04:54:00    -04:36:00
J2234-04      backgrounds/J2234-04.jpg       22:35:30     22:34:30     -04:48:00    -04:33:00
J0039-14a     backgrounds/J0039-14a.jpg      00:39:45     00:38:30     -14:18:00    -14:03:00
J0112+00      backgrounds/J0112+00.jpg       01:13:30     01:12:30     00:51:00     01:06:00
J0404-02      backgrounds/J0404-02.jpg       04:05:00     04:04:00     -02:18:00    -02:03:00
J2102-16      backgrounds/J2102-16.jpg       21:03:00     21:02:00     -16:57:00    -16:42:00
J0034-08      backgrounds/J0034-08.jpg       00:35:15     00:34:15     -08:33:00    -08:15:00
J0045-15      backgrounds/J0045-15.jpg       00:46:15     00:45:15     -15:45:00    -15:27:00
J0249-02      backgrounds/J0249-02.jpg       02:50:00     02:48:45     -02:48:00    -02:30:00
J1002-06      backgrounds/J1002-06.jpg       10:03:00     10:02:00     -06:09:00    -05:51:00
J1152-02      backgrounds/J1152-02.jpg       11:53:15     11:52:15     -02:36:00    -02:21:00
J0441-02      backgrounds/J0441-02.jpg       04:42:00     04:41:00     -03:00:00    -02:42:00
J1105-00      backgrounds/J1105-00.jpg       11:06:15     11:05:15     -00:09:00    00:06:00
J1247-03      backgrounds/J1247-03.jpg       12:48:30     12:47:15     -03:27:00    -03:09:00
J1326+02      backgrounds/J1326+02.jpg       13:27:00     13:25:45     01:57:00     02:15:00
J1039+01      backgrounds/J1039+01.jpg       10:40:00     10:38:45     01:33:00     01:51:00
J1217+00      backgrounds/J1217+00.jpg       12:18:30     12:17:30     00:18:00     00:36:00
J1255+00      backgrounds/J1255+00.jpg       12:55:45     12:54:30     00:00:00     00:18:00
J1300-13      backgrounds/J1300-13.jpg       13:01:15     13:00:15     -13:36:00    -13:18:00
J1338-09      backgrounds/J1338-09.jpg       13:38:45     13:37:30     -09:57:00    -09:39:00
