# HIPASS ID	Galaxy		Filename		No. of exp.	Exp. time
J2239-04	UGCA 433	obj01010023_0025	3		1800
J2234-04	MCG -01-57-015	obj01010026_0029	4		1800
J0039-14a	NGC 0178	obj01010030_0032	3		1800
J0112+00	NGC 0428	obj01010034_0036	3		1800
J0404-02	NGC 1507	obj01010037_0039	3		1800
J2102-16	IC 5078		obj01020094_0096	3		1800
J0034-08	NGC 0157	obj01020097_0099	3		1800
J0045-15	NGC 0244	obj01020101_0103	3		1800
J0249-02	UGCA 044	obj01020104_0107	4		1800
J1002-06	UGCA 193	obj02010039_0041	3		1800
J1152-02	UGC 06850	obj02010042_0044	3		1800
J0441-02	NGC 1637	obj02020071_0073	3		1800
J1105-00	NGC 3521	obj02020082_0084	3		900
J1026-19	ESO 568- G 011	obj02020086_0088	3		1800
J1247-03	NGC 4691	obj02020090_0092	3		1800
J1326+02	NGC 5147	obj02020096_0097	2		1800
J1039+01	UGC 5797	obj03010031_0033	3		1800
J1217+00	UGC 7332	obj03010034_0036	3		1800
J1255+00	UGC 8041	obj03010039_0041	3		1800
J1326+02	NGC 5147	obj03010042_0043	2		1800
J1300-13	NGC 4897	obj03020074_0076	3		1800
J1338-09	DDO 180		obj03020079_0082	4		1800
