# fiber    18*weight
01            13
02            18
03            18
04            18
05            18
06            18
07            18
08            18
09            18
10            18
11            18
12            18
13            18
14            18
15            18
16            18
17            18
18            18
19            18
20            18
21            18
22            18
23            18
24            18
25            11
26             7
27            18
28            18
29            18
30            18
31             6
32            18
33            18
34            18
35            18
36            18
37            18
38            18
39            18
40            18
41            11
42            15
43             7
44             8
45            13
46             7
47             6
48             8
49            18
50            18
51            11
52             6
53            18
54            18
55            18
56            18
57            18
58            18
59            18
60            18
61            18
62            11
63            18
64            18
65            18
66             7
67            18
68            18
69            18
70            18
71            18
72            18
73            18
74            18
75            18
76            18
77            18
78            18
79            15
80            18
81            18
82            18

