#       filename   [NII]6548  Halpha6563   [NII]6584     HeI6678   [SII]6716   [SII]6731
obj01010023_0025           1           1           1           0           0           0
obj01010026_0029           1           1           1           0           0           0
obj01010030_0032           1           1           1           0           0           0
obj01010034_0036           1           1           1           0           0           0
obj01010037_0039           1           1           1           0           0           0
obj01020094_0096           1           1           1           0           0           0
obj01020097_0099           1           1           1           0           0           0
obj01020101_0103           1           1           1           0           0           0
obj01020104_0107           1           1           1           0           0           0
obj02010039_0041           1           1           1           1           1           1
obj02010042_0044           1           1           1           1           1           1
obj02020071_0073           1           1           1           1           1           1
obj02020082_0084           1           1           1           1           1           1
obj02020086_0088           1           1           0           0           0           0
obj02020090_0092           1           1           1           1           1           1
obj02020096_0097           1           1           1           1           1           1
obj03010031_0033           1           1           1           1           1           1
obj03010034_0036           1           1           1           1           1           1
obj03010039_0041           1           1           1           1           1           1
obj03010042_0043           1           1           1           1           1           1
obj03020074_0076           1           1           1           1           1           1
obj03020079_0082           1           1           1           1           1           1
